augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,n_corr_quantum_features
rff_30,ridge,0.001749,0.029239,0.076521,170,17,10,71,30,0,510,,,,24
qunified_xyz_8q_3L_3ens,ridge,0.001769,0.029438,0.080567,170,17,10,113,72,0,288,29.0,8.0,57.0,24
qunified_z_8q_3L_3ens_pca,ridge,0.001777,0.029494,0.051695,170,17,10,65,24,0,288,29.0,8.0,57.0,24
qunified_zzz_8q_3L_3ens,ridge,0.001777,0.029435,0.063915,170,17,10,149,108,0,288,29.0,8.0,57.0,24
qunified_z_8q_3L_3ens,ridge,0.001778,0.02971,0.048257,170,17,10,65,24,0,288,29.0,8.0,57.0,24
qunified_z_8q_5L_3ens,ridge,0.001779,0.029509,0.051978,170,17,10,65,24,0,432,47.0,8.0,89.0,24
identity,ridge,0.001781,0.029556,0.031942,170,17,10,41,0,0,0,,,,24
qunified_z_8q_2L_3ens,ridge,0.00179,0.029797,0.041859,170,17,10,65,24,0,216,20.0,8.0,41.0,24
qunified_z_8q_3L_3ens_linear,ridge,0.001796,0.029724,0.022808,170,17,10,65,24,0,288,16.0,8.0,54.0,24
rff_10,ridge,0.001805,0.02999,0.018185,170,17,10,51,10,0,170,,,,24
rff_96,ridge,0.001814,0.030437,0.037617,170,17,10,137,96,0,1632,,,,24
rff_50,ridge,0.001825,0.030059,0.012331,170,17,10,91,50,0,850,,,,24
qunified_z_6q_3L_3ens,ridge,0.001827,0.029688,-0.008365,170,17,10,59,18,0,216,23.0,6.0,43.0,24
qunified_zzz_6q_3L_3ens,ridge,0.00183,0.029777,0.015087,170,17,10,104,63,0,216,23.0,6.0,43.0,24
qunified_xyz_6q_3L_3ens,ridge,0.001841,0.030136,0.016197,170,17,10,95,54,0,216,23.0,6.0,43.0,24
poly_deg2_interact,ridge,0.002184,0.03296,0.021445,170,17,10,177,136,0,0,,,,24
interaction_log,ridge,0.00222,0.033184,0.009779,170,17,10,211,170,0,0,,,,24
poly_deg2,ridge,0.002335,0.034102,0.012706,170,17,10,194,153,0,0,,,,24
