augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,n_corr_quantum_features,ic_mean_rolling_3m,ic_std_rolling_3m
qunified_z_8q_3L_3ens,ridge,0.001756,0.029503,0.077848,3367,337,10,65,24,0,288,29.0,8.0,57.0,24,0.07858,0.071061
identity,ridge,0.001771,0.029611,0.042747,3367,337,10,41,0,0,0,,,,24,0.044604,0.06248
qunified_z_8q_3L_3ens_pca,ridge,0.001774,0.029639,0.052366,3367,337,10,65,24,0,288,29.0,8.0,57.0,24,0.051665,0.069182
rff_10,ridge,0.001778,0.029657,0.037612,3367,337,10,51,10,0,170,,,,24,0.045071,0.058593
rff_30,ridge,0.001782,0.029756,0.045162,3367,337,10,71,30,0,510,,,,24,0.049991,0.063444
rff_50,ridge,0.001802,0.029888,0.047686,3367,337,10,91,50,0,850,,,,24,0.043919,0.064366
rff_96,ridge,0.001822,0.030287,0.039209,3367,337,10,137,96,0,1632,,,,24,0.055258,0.04838
poly_deg2_interact,ridge,0.00212,0.032527,0.051262,3367,337,10,177,136,0,0,,,,24,0.057259,0.057367
poly_deg2,ridge,0.002148,0.032887,0.072318,3367,337,10,194,153,0,0,,,,24,0.073805,0.081118
interaction_log,ridge,0.002235,0.033209,0.059655,3367,337,10,211,170,0,0,,,,24,0.06582,0.088202
