augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count
qunified_z_8q_3L_3ens,ridge,0.001738,0.03098,0.301889,54,18,3,38,24,0,288,29.0,8.0,57.0
identity,ridge,0.00175,0.031245,0.290327,54,18,3,14,0,0,0,,,
