augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,n_corr_quantum_features,ic_mean_rolling_3m,ic_std_rolling_3m
qunified_z_8q_3L_3ens,ridge,0.001757,0.029711,0.07382,3367,337,10,62,24,0,288,29.0,8.0,57.0,24,0.075494,0.052596
identity,ridge,0.001773,0.029704,0.041744,3367,337,10,38,0,0,0,,,,24,0.045742,0.056522
rff_10,ridge,0.001786,0.029916,0.041372,3367,337,10,48,10,0,140,,,,24,0.049821,0.043889
qunified_z_8q_3L_3ens_pca,ridge,0.001793,0.029918,0.033348,3367,337,10,62,24,0,288,29.0,8.0,57.0,24,0.022512,0.070563
rff_30,ridge,0.001796,0.029983,0.035017,3367,337,10,68,30,0,420,,,,24,0.022385,0.065528
rff_50,ridge,0.001796,0.029999,0.046282,3367,337,10,88,50,0,700,,,,24,0.056692,0.044668
rff_96,ridge,0.001824,0.03042,0.03862,3367,337,10,134,96,0,1344,,,,24,0.051007,0.056743
poly_deg2_interact,ridge,0.001976,0.031373,0.020848,3367,337,10,129,91,0,0,,,,24,0.020864,0.06482
interaction_log,ridge,0.002012,0.031595,0.048316,3367,337,10,157,119,0,0,,,,24,0.05563,0.094066
poly_deg2,ridge,0.002013,0.031747,0.049813,3367,337,10,143,105,0,0,,,,24,0.052785,0.089847
