augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,n_corr_quantum_features,ic_mean_rolling_3m,ic_std_rolling_3m
rff_10,ridge,0.001763,0.029667,0.050375,3367,337,10,48,10,0,140,,,,24,0.053645,0.074462
qunified_z_8q_3L_3ens_pca,ridge,0.001763,0.029639,0.052427,3367,337,10,62,24,0,288,29.0,8.0,57.0,24,0.049194,0.061954
identity,ridge,0.001764,0.029637,0.041607,3367,337,10,38,0,0,0,,,,24,0.044919,0.057506
qunified_z_8q_3L_3ens,ridge,0.001768,0.029762,0.063544,3367,337,10,62,24,0,288,29.0,8.0,57.0,24,0.061547,0.049719
rff_50,ridge,0.001791,0.030016,0.047061,3367,337,10,88,50,0,700,,,,24,0.04675,0.060534
rff_96,ridge,0.001791,0.029989,0.061588,3367,337,10,134,96,0,1344,,,,24,0.052793,0.052148
rff_30,ridge,0.001796,0.030012,0.015673,3367,337,10,68,30,0,420,,,,24,0.014761,0.058269
poly_deg2_interact,ridge,0.001988,0.031604,0.013581,3367,337,10,129,91,0,0,,,,24,0.015857,0.070345
poly_deg2,ridge,0.002,0.031734,0.052074,3367,337,10,143,105,0,0,,,,24,0.053795,0.091572
interaction_log,ridge,0.00201,0.031649,0.045104,3367,337,10,157,119,0,0,,,,24,0.05239,0.096951
