augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,n_corr_quantum_features,ic_mean_rolling_3m,ic_std_rolling_3m
identity,ridge,0.00177,0.029596,0.03735,3367,337,10,41,0,0,0,,,,24,0.038519,0.062735
qunified_z_8q_3L_3ens,ridge,0.001771,0.029741,0.059809,3367,337,10,65,24,0,288,29.0,8.0,57.0,24,0.051076,0.068694
rff_30,ridge,0.001772,0.029781,0.059652,3367,337,10,71,30,0,510,,,,24,0.060062,0.066005
qunified_z_8q_3L_3ens_pca,ridge,0.001774,0.029813,0.04105,3367,337,10,65,24,0,288,29.0,8.0,57.0,24,0.032456,0.066252
rff_10,ridge,0.001778,0.029726,0.035165,3367,337,10,51,10,0,170,,,,24,0.036585,0.059544
rff_96,ridge,0.001794,0.029973,0.054131,3367,337,10,137,96,0,1632,,,,24,0.054465,0.05902
rff_50,ridge,0.001812,0.029999,0.019951,3367,337,10,91,50,0,850,,,,24,0.019957,0.074217
poly_deg2_interact,ridge,0.002129,0.032697,0.044605,3367,337,10,177,136,0,0,,,,24,0.051339,0.060022
poly_deg2,ridge,0.002145,0.03286,0.070531,3367,337,10,194,153,0,0,,,,24,0.07242,0.082865
interaction_log,ridge,0.002233,0.033185,0.054986,3367,337,10,211,170,0,0,,,,24,0.062147,0.087691
