augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,n_corr_quantum_features
rff_50,ridge,0.001765,0.029107,0.075507,170,17,10,91,50,0,850,,,,24
qunified_z_8q_5L_3ens,ridge,0.001792,0.029686,0.039563,170,17,10,65,24,0,432,47.0,8.0,89.0,24
qunified_z_8q_3L_3ens_pca,ridge,0.001796,0.029478,0.025946,170,17,10,65,24,0,288,29.0,8.0,57.0,24
qunified_z_6q_3L_3ens,ridge,0.001823,0.029879,0.016001,170,17,10,59,18,0,216,23.0,6.0,43.0,24
qunified_zzz_8q_3L_3ens,ridge,0.001825,0.029601,0.007461,170,17,10,149,108,0,288,29.0,8.0,57.0,24
rff_96,ridge,0.001825,0.030156,0.00621,170,17,10,137,96,0,1632,,,,24
qunified_z_8q_2L_3ens,ridge,0.001829,0.029851,-0.005206,170,17,10,65,24,0,216,20.0,8.0,41.0,24
qunified_z_8q_3L_3ens,ridge,0.001829,0.029742,-0.021119,170,17,10,65,24,0,288,29.0,8.0,57.0,24
qunified_xyz_8q_3L_3ens,ridge,0.001831,0.029784,-0.014234,170,17,10,113,72,0,288,29.0,8.0,57.0,24
qunified_zzz_6q_3L_3ens,ridge,0.001832,0.029993,0.027454,170,17,10,104,63,0,216,23.0,6.0,43.0,24
identity,ridge,0.00184,0.030231,0.033735,170,17,10,41,0,0,0,,,,24
rff_10,ridge,0.001842,0.030374,0.032999,170,17,10,51,10,0,170,,,,24
qunified_xyz_6q_3L_3ens,ridge,0.001849,0.029738,0.00881,170,17,10,95,54,0,216,23.0,6.0,43.0,24
qunified_z_8q_3L_3ens_linear,ridge,0.00185,0.030016,-0.015405,170,17,10,65,24,0,288,16.0,8.0,54.0,24
rff_30,ridge,0.00186,0.030542,-0.009849,170,17,10,71,30,0,510,,,,24
poly_deg2_interact,ridge,0.00221,0.033271,0.012349,170,17,10,177,136,0,0,,,,24
interaction_log,ridge,0.002215,0.033116,0.007493,170,17,10,211,170,0,0,,,,24
poly_deg2,ridge,0.002317,0.033938,0.011763,170,17,10,194,153,0,0,,,,24
