augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count
qunified_z_8q_3L_3ens,ridge,0.001572,0.029371,0.440684,54,18,3,41,24,0,288,29.0,8.0,57.0
identity,ridge,0.001678,0.030322,0.356021,54,18,3,17,0,0,0,,,
