augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,n_corr_quantum_features
qunified_z_8q_3L_3ens,ridge,0.001595,0.030294,0.416084,54,18,3,47,24,0,288,29.0,8.0,57.0,9
identity,ridge,0.001688,0.031109,0.348678,54,18,3,23,0,0,0,,,,9
