augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,n_corr_quantum_features,ic_mean_rolling_3m,ic_std_rolling_3m
qunified_z_8q_3L_3ens,ridge,0.001756,0.029595,0.071012,3367,337,10,62,24,0,288,29.0,8.0,57.0,24,0.076837,0.05941
identity,ridge,0.001757,0.029591,0.054763,3367,337,10,38,0,0,0,,,,24,0.058481,0.061897
rff_10,ridge,0.001777,0.029765,0.039048,3367,337,10,48,10,0,140,,,,24,0.040764,0.065895
rff_30,ridge,0.001778,0.029761,0.052399,3367,337,10,68,30,0,420,,,,24,0.052827,0.050516
qunified_z_8q_3L_3ens_pca,ridge,0.001781,0.029943,0.034461,3367,337,10,62,24,0,288,29.0,8.0,57.0,24,0.030587,0.061227
rff_50,ridge,0.00179,0.03003,0.054215,3367,337,10,88,50,0,700,,,,24,0.051859,0.078052
rff_96,ridge,0.001791,0.030225,0.070947,3367,337,10,134,96,0,1344,,,,24,0.086341,0.053463
poly_deg2_interact,ridge,0.001963,0.031299,0.028858,3367,337,10,129,91,0,0,,,,24,0.029182,0.067712
poly_deg2,ridge,0.002021,0.031791,0.054677,3367,337,10,143,105,0,0,,,,24,0.061095,0.090257
interaction_log,ridge,0.002077,0.031633,0.041229,3367,337,10,157,119,0,0,,,,24,0.058344,0.103879
