augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,n_corr_quantum_features
qunified_modular,ridge,0.001564,0.030223,0.434797,54,18,3,50,24,0,288,29,8,57,9
qunified_cyclic,ridge,0.001611,0.030415,0.397573,54,18,3,50,24,0,288,32,8,60,9
qunified_pca,ridge,0.001633,0.031022,0.381808,54,18,3,50,24,0,288,29,8,57,9
