augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,n_corr_quantum_features,ic_mean_rolling_3m,ic_std_rolling_3m
qunified_z_8q_3L_3ens_linear,ridge,0.00176,0.029606,0.081933,3367,337,10,65,24,0,288,16.0,8.0,54.0,24,0.068431,0.07203
qunified_z_8q_5L_3ens,ridge,0.00176,0.029546,0.069108,3367,337,10,65,24,0,432,47.0,8.0,89.0,24,0.059126,0.077254
qunified_z_8q_2L_3ens,ridge,0.001769,0.029574,0.048334,3367,337,10,65,24,0,216,20.0,8.0,41.0,24,0.039715,0.061388
identity,ridge,0.00177,0.029596,0.03735,3367,337,10,41,0,0,0,,,,24,0.038519,0.062735
qunified_z_8q_3L_3ens,ridge,0.001771,0.029741,0.059809,3367,337,10,65,24,0,288,29.0,8.0,57.0,24,0.051076,0.068694
rff_30,ridge,0.001772,0.029781,0.059652,3367,337,10,71,30,0,510,,,,24,0.060062,0.066005
qunified_zzz_8q_3L_3ens,ridge,0.001773,0.029818,0.078879,3367,337,10,149,108,0,288,29.0,8.0,57.0,24,0.067779,0.072361
qunified_z_8q_3L_3ens_pca,ridge,0.001774,0.029813,0.04105,3367,337,10,65,24,0,288,29.0,8.0,57.0,24,0.032456,0.066252
rff_10,ridge,0.001778,0.029726,0.035165,3367,337,10,51,10,0,170,,,,24,0.036585,0.059544
qunified_z_6q_3L_3ens,ridge,0.001778,0.029551,0.052342,3367,337,10,59,18,0,216,23.0,6.0,43.0,24,0.044188,0.088612
qunified_xyz_8q_3L_3ens,ridge,0.001786,0.029911,0.067652,3367,337,10,113,72,0,288,29.0,8.0,57.0,24,0.053173,0.095553
qunified_xyz_6q_3L_3ens,ridge,0.001788,0.029734,0.071944,3367,337,10,95,54,0,216,23.0,6.0,43.0,24,0.064517,0.110131
qunified_zzz_6q_3L_3ens,ridge,0.001789,0.029701,0.073646,3367,337,10,104,63,0,216,23.0,6.0,43.0,24,0.068403,0.095547
rff_96,ridge,0.001794,0.029973,0.054131,3367,337,10,137,96,0,1632,,,,24,0.054465,0.05902
rff_50,ridge,0.001812,0.029999,0.019951,3367,337,10,91,50,0,850,,,,24,0.019957,0.074217
poly_deg2_interact,ridge,0.002129,0.032697,0.044605,3367,337,10,177,136,0,0,,,,24,0.051339,0.060022
poly_deg2,ridge,0.002145,0.03286,0.070531,3367,337,10,194,153,0,0,,,,24,0.07242,0.082865
interaction_log,ridge,0.002233,0.033185,0.054986,3367,337,10,211,170,0,0,,,,24,0.062147,0.087691
