augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,n_corr_quantum_features,ic_mean_rolling_3m,ic_std_rolling_3m
qunified_z_8q_3L_3ens,ridge,0.001757,0.029631,0.085169,3367,337,10,62,24,0,288,29.0,8.0,57.0,24,0.082572,0.058515
identity,ridge,0.001774,0.029761,0.046486,3367,337,10,38,0,0,0,,,,24,0.048173,0.052641
qunified_z_8q_3L_3ens_pca,ridge,0.001781,0.029922,0.049927,3367,337,10,62,24,0,288,29.0,8.0,57.0,24,0.042111,0.050571
rff_30,ridge,0.001783,0.029978,0.063414,3367,337,10,68,30,0,420,,,,24,0.059324,0.069428
rff_10,ridge,0.001796,0.03005,0.035302,3367,337,10,48,10,0,140,,,,24,0.032632,0.054417
rff_96,ridge,0.001798,0.030144,0.066868,3367,337,10,134,96,0,1344,,,,24,0.067905,0.047479
rff_50,ridge,0.001801,0.030011,0.042738,3367,337,10,88,50,0,700,,,,24,0.040101,0.065971
poly_deg2_interact,ridge,0.001987,0.031589,0.022915,3367,337,10,129,91,0,0,,,,24,0.022387,0.067368
interaction_log,ridge,0.002023,0.031813,0.050932,3367,337,10,157,119,0,0,,,,24,0.058032,0.094739
poly_deg2,ridge,0.002038,0.032048,0.047291,3367,337,10,143,105,0,0,,,,24,0.051715,0.093597
