augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,n_corr_quantum_features,ic_mean_rolling_3m,ic_std_rolling_3m
qunified_z_8q_5L_3ens,ridge,0.001753,0.029471,0.076835,3367,337,10,65,24,0,432,47.0,8.0,89.0,24,0.081887,0.050103
qunified_xyz_8q_3L_3ens,ridge,0.001755,0.029569,0.096301,3367,337,10,113,72,0,288,29.0,8.0,57.0,24,0.08542,0.086742
qunified_z_8q_3L_3ens,ridge,0.001756,0.029503,0.077848,3367,337,10,65,24,0,288,29.0,8.0,57.0,24,0.07858,0.071061
qunified_z_8q_2L_3ens,ridge,0.00176,0.029648,0.082124,3367,337,10,65,24,0,216,20.0,8.0,41.0,24,0.073845,0.076555
identity,ridge,0.001771,0.029611,0.042747,3367,337,10,41,0,0,0,,,,24,0.044604,0.06248
qunified_zzz_6q_3L_3ens,ridge,0.001773,0.029677,0.085413,3367,337,10,104,63,0,216,23.0,6.0,43.0,24,0.080683,0.074534
qunified_z_8q_3L_3ens_pca,ridge,0.001774,0.029639,0.052366,3367,337,10,65,24,0,288,29.0,8.0,57.0,24,0.051665,0.069182
qunified_z_6q_3L_3ens,ridge,0.001778,0.029735,0.055407,3367,337,10,59,18,0,216,23.0,6.0,43.0,24,0.044414,0.074141
rff_10,ridge,0.001778,0.029657,0.037612,3367,337,10,51,10,0,170,,,,24,0.045071,0.058593
qunified_zzz_8q_3L_3ens,ridge,0.001779,0.029827,0.0861,3367,337,10,149,108,0,288,29.0,8.0,57.0,24,0.079133,0.079773
rff_30,ridge,0.001782,0.029756,0.045162,3367,337,10,71,30,0,510,,,,24,0.049991,0.063444
qunified_xyz_6q_3L_3ens,ridge,0.00179,0.029757,0.075752,3367,337,10,95,54,0,216,23.0,6.0,43.0,24,0.067676,0.081729
qunified_z_8q_3L_3ens_linear,ridge,0.001801,0.029924,0.0434,3367,337,10,65,24,0,288,16.0,8.0,54.0,24,0.029956,0.077658
rff_50,ridge,0.001802,0.029888,0.047686,3367,337,10,91,50,0,850,,,,24,0.043919,0.064366
rff_96,ridge,0.001822,0.030287,0.039209,3367,337,10,137,96,0,1632,,,,24,0.055258,0.04838
poly_deg2_interact,ridge,0.00212,0.032527,0.051262,3367,337,10,177,136,0,0,,,,24,0.057259,0.057367
poly_deg2,ridge,0.002148,0.032887,0.072318,3367,337,10,194,153,0,0,,,,24,0.073805,0.081118
interaction_log,ridge,0.002235,0.033209,0.059655,3367,337,10,211,170,0,0,,,,24,0.06582,0.088202
